                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.3915,                 2.3538,                 1.6306,                 0.6169,                0.47953,                0.52367,                0.24461,                  2.059,                 1.7481,                 1.3244,              0.0033169,              0.0033169,              0.0033169
                      1,                 1.9258,                 1.4513,                 1.2647,                0.70503,                0.62634,                0.67372,                0.31625,                 1.9432,                 1.4021,                 1.2255,              0.0065844,              0.0065844,              0.0065844
                      2,                 1.8545,                 1.3581,                 1.2348,                0.66373,                0.41378,                 0.4704,                0.20537,                  2.259,                 1.9426,                  1.471,              0.0097859,              0.0097859,              0.0097859
                      3,                  1.878,                 1.3701,                 1.2359,                0.70502,                0.37072,                  0.433,                0.19331,                 2.3091,                 2.1653,                  1.412,               0.009703,               0.009703,               0.009703
                      4,                 1.8385,                 1.3156,                 1.2198,                0.69261,                0.63251,                0.67084,                0.31783,                 1.9238,                   1.47,                 1.2132,               0.009703,               0.009703,               0.009703
                      5,                 1.8151,                  1.279,                 1.2147,                0.69128,                0.46427,                0.52985,                0.25296,                 2.0227,                 1.7204,                 1.2829,               0.009604,               0.009604,               0.009604
                      6,                 1.7771,                 1.2316,                 1.1953,                0.81136,                0.69892,                0.76974,                0.40313,                 1.7681,                 1.1698,                  1.165,               0.009505,               0.009505,               0.009505
                      7,                 1.7513,                 1.1883,                 1.1835,                0.82705,                 0.7435,                0.80693,                0.42666,                 1.7382,                 1.0873,                 1.1402,               0.009406,               0.009406,               0.009406
                      8,                 1.7469,                 1.1716,                 1.1833,                0.57146,                0.36763,                0.41177,                0.19455,                 2.0735,                 2.1218,                  1.342,               0.009307,               0.009307,               0.009307
                      9,                 1.7132,                  1.149,                 1.1679,                0.83536,                 0.7543,                0.81472,                0.43383,                 1.6644,                 1.0301,                 1.1253,               0.009208,               0.009208,               0.009208
                     10,                 1.7028,                 1.1386,                 1.1617,                0.71576,                  0.503,                0.57277,                0.26597,                 1.8724,                 1.4885,                 1.2191,               0.009109,               0.009109,               0.009109
                     11,                 1.6824,                 1.1067,                 1.1554,                 0.8561,                0.76454,                0.82451,                 0.4466,                 1.6494,                0.98614,                 1.1212,                0.00901,                0.00901,                0.00901
